
DE14950;SHY;Hochspeyer;Hochspeyer;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE10231;TAM;Amstetten (Württ);Amstetten(Württ);BF;Bf;Betrieb;20200401;;6;Südwest;20201029
;TAPF;Äpfingen;Äpfingen;MUSE;Museum;Betrieb;20000416;;0;;20200701
DE10279;TAR;Arnegg;Arnegg;BF;Bf;Betrieb;20081214;;6;Südwest;20200701
DE10209;TAT;Altshausen;Altshausen;BF;Bf;Betrieb;20081214;;6;Südwest;20200701
;TATA;Albstadt-Tailfingen;Albst.-Tailfing.;NE-BF;NE-Bf;Betrieb;20090401;;0;;20200701
DE10212;TATN;Alttann;Alttann;HP;Hp;Betrieb;20081214;;6;Südwest;20210701
DE10365;TAU;Aulendorf;Aulendorf;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE10345;TAUF;Aufhausen (Württ);Aufhausen(Württ);HP;Hp;Betrieb;20200401;;6;Südwest;20201029
DE10315;TAX;Asperg;Asperg;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE10394;TB;Backnang;Backnang;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
;TBA;Barabein;Barabein;MUSE;Museum;Betrieb;20000416;;0;;20200701
DE11363;TBB;Böbingen (Rems);Böbingen (Rems);BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE11415;TBCB;Böckingen Berufsschulzentrum;Böckingen Berufs;vp-HP;vp-Hp;Betrieb;20081224;;6;Südwest;20210701
DE11416;TBCS;Böckingen Sonnenbrunnen;Bö Sonnenbrunnen;vp-HP;vp-Hp;Betrieb;20081224;;6;Südwest;20200701
DE11417;TBCW;Böckingen West;Böckingen West;vp-HP;vp-Hp;Betrieb;20200401;;6;Südwest;20201029
DE11457;TBD;Bondorf (b Herrenberg);Bondorf b Herrbg;BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE11186;TBE;Besigheim;Besigheim;HP;Hp;Betrieb;20200401;;6;Südwest;20201029
DE10762;TBEM;Bempflingen;Bempflingen;HP;Hp;Betrieb;20200401;;6;Südwest;20201029
DE10771;TBEN;Benningen (Neckar);Benningen (N);BF;Bf;Betrieb;20200401;;6;Südwest;20201029
DE10794;TBER;Bergenweiler;Bergenweiler;HP;Hp;Betrieb;20081214;;6;Südwest;20210701
DE11199;TBEU;Beuron;Beuron;HP;Hp;Betrieb;20081214;;6;Südwest;20210701
